dep;week;P;cl_age90;pop
01;2020-S21;0;09;83001
01;2020-S21;2;19;84665
01;2020-S21;4;29;65496
01;2020-S21;6;39;85588
01;2020-S21;4;49;89678
01;2020-S21;0;59;89791
01;2020-S21;4;69;73500
01;2020-S21;4;79;51011
01;2020-S21;10;89;26830
01;2020-S21;7;90;7395
01;2020-S21;41;0;656955
01;2020-S22;0;09;83001
01;2020-S22;2;19;84665
01;2020-S22;0;29;65496
01;2020-S22;2;39;85588
01;2020-S22;2;49;89678
01;2020-S22;1;59;89791
01;2020-S22;2;69;73500
01;2020-S22;2;79;51011
01;2020-S22;3;89;26830
01;2020-S22;5;90;7395
01;2020-S22;19;0;656955
01;2020-S23;0;09;83001
01;2020-S23;0;19;84665
01;2020-S23;2;29;65496
01;2020-S23;2;39;85588
01;2020-S23;2;49;89678
01;2020-S23;0;59;89791
01;2020-S23;2;69;73500
01;2020-S23;0;79;51011
01;2020-S23;5;89;26830
01;2020-S23;5;90;7395
01;2020-S23;18;0;656955
01;2020-S24;0;09;83001
01;2020-S24;3;19;84665
01;2020-S24;4;29;65496
01;2020-S24;1;39;85588
01;2020-S24;3;49;89678
01;2020-S24;1;59;89791
01;2020-S24;3;69;73500
01;2020-S24;0;79;51011
01;2020-S24;0;89;26830
01;2020-S24;1;90;7395
01;2020-S24;16;0;656955
01;2020-S25;1;09;83001
01;2020-S25;1;19;84665
01;2020-S25;2;29;65496
01;2020-S25;5;39;85588
01;2020-S25;2;49;89678
01;2020-S25;1;59;89791
01;2020-S25;1;69;73500
01;2020-S25;1;79;51011
01;2020-S25;2;89;26830
01;2020-S25;2;90;7395
01;2020-S25;18;0;656955
01;2020-S26;2;09;83001
01;2020-S26;6;19;84665
01;2020-S26;7;29;65496
01;2020-S26;1;39;85588
01;2020-S26;6;49;89678
01;2020-S26;6;59;89791
01;2020-S26;1;69;73500
01;2020-S26;2;79;51011
01;2020-S26;4;89;26830
01;2020-S26;1;90;7395
01;2020-S26;36;0;656955
01;2020-S27;2;09;83001
01;2020-S27;4;19;84665
01;2020-S27;1;29;65496
01;2020-S27;6;39;85588
01;2020-S27;2;49;89678
01;2020-S27;2;59;89791
01;2020-S27;1;69;73500
01;2020-S27;0;79;51011
01;2020-S27;1;89;26830
01;2020-S27;1;90;7395
01;2020-S27;21;0;656955
01;2020-S28;1;09;83001
01;2020-S28;2;19;84665
01;2020-S28;4;29;65496
01;2020-S28;2;39;85588
01;2020-S28;2;49;89678
01;2020-S28;1;59;89791
01;2020-S28;2;69;73500
01;2020-S28;1;79;51011
01;2020-S28;2;89;26830
01;2020-S28;0;90;7395
01;2020-S28;17;0;656955
01;2020-S29;0;09;83001
01;2020-S29;1;19;84665
01;2020-S29;0;29;65496
01;2020-S29;4;39;85588
01;2020-S29;3;49;89678
01;2020-S29;1;59;89791
01;2020-S29;2;69;73500
01;2020-S29;0;79;51011
01;2020-S29;2;89;26830
01;2020-S29;0;90;7395
01;2020-S29;13;0;656955
01;2020-S30;0;09;83001
01;2020-S30;2;19;84665
01;2020-S30;14;29;65496
01;2020-S30;11;39;85588
01;2020-S30;7;49;89678
01;2020-S30;6;59;89791
01;2020-S30;5;69;73500
01;2020-S30;2;79;51011
01;2020-S30;1;89;26830
01;2020-S30;1;90;7395
