cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
167100130927431928933795460089271459864;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 29, 2019; Entreprise humaine ;Employé actuel - Associate TMT;Paris;Recommande;Je travaille chez CACIB à temps plein depuis plus de 3 ans;Banque leader dans le financement Bon équilibre vie perso / travail Comité d'entreprise avantageux;Pas d’avantages pour les employés
315403759643219727407877325879577024071;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 28, 2019; Gestionnaire back ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez CACIB à temps plein;EXCELLENT rien à redire tout est parfait;les cantines doit être mieux gérée
294639274702820976479946943882791620086;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 26, 2019; Bonne entreprise en général ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez CACIB à temps plein;Rémunération (salaires, bonus, primes), CE, avantages bancaires;Efforts à faire sur suivi de l'évolution des collaborateurs
42897872463328081285240993028275222159;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 22, 2019; Charge d’Affaires Agency ;Ancien employé - Employé anonyme;NULL;Recommande;J'ai travaillé chez CACIB à temps plein;Cantine, Chèques Vacances, CE, mutuelle, campus;Perspectives de carrière, évolution de salaire
331506893656858189117134840137679909708;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 21, 2019; Avis CACIB ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez CACIB à temps plein;Bon CE, bonus, intéressement, bonne situation géographique du site de Montrouge, chèques vacances, restauration d'entreprise,  bonne mutuelle, agence bancaire des salariés, télétravail;Pas d’avantages pour les employés
311975611254100295708226510706915140357;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 21, 2019; BFI ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez CACIB à temps plein;une des quelques grandes BFI française;en général sur une position défensive
143495726944144582081980024606062259990;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 7, 2019; Cadre de travail agréable et bienveillant ;Ancien employé - Origination Financement;Montrouge;Recommande;J'ai travaillé chez CACIB à temps plein moins d'un an;Equilibre travail - vie privée Avantages sociaux considérables: congés payés + RTT (quasi 9 semaines en tout) participation et intéressement, CE intéressant.. Campus de Montrouge qui est un cadre de qualité;Cadre très hiérarchisé et redondance des tâches au bout d'un certain temps mais qui est commun à tout métier dans la banque et pas que le milieu bancaire
133128058945093637896911006881422258979;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 6, 2019; Bonne expérience mais technologies austères ;Employé actuel - Développeur BI;Montrouge;Recommande;Je travaille chez CACIB à temps plein depuis plus d'un an;Avantages sociaux (primes, CE) Beaucoup de choses à apprendre;Technologies austères, non innovantes (windows 7, IE, SVN, outils non à jour...) Trop de procédures, besoin d'autorisations pour tout  Les gens préfèrent s'écrire des mails plutôt que de se parler directement
79720952209055795612720443804471656387;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;2021-03-21 17:30:31;0;CACIB;May 2, 2019; Mauvaise gestion ;Employé actuel - Analyste KYC;Montrouge;Ne recommande pas;Je travaille chez CACIB à temps plein depuis plus de 5 ans;comité d'entreprise (voyages et réductions sur les places de cinéma, etc.), plan d'épargne d'entreprise;Pas d’avantages pour les employés
77624684421941946893477968209492921411;13646-AVIS-SOC-GLASSDOOR-E3489_P1.html;2021-03-21 17:30:31;0;LVMH;Dec 5, 2019; très belle école marketing mais culture d'entreprise décevante ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez LVMH à temps plein;Marques exceptionnelles Ecole de marketing Mobilité internationale;culture d'entreprise peu moderne et assez malveillante
