cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;site_web;taille;date_fondation;secteur;revenu;type_entreprise
42087806561392274523198664287473952380;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;2021-03-21 11:49:16;0;Bayer; 3,2k;www.career.bayer.com;Plus de 10 000 employés; 1863; Biotechnologies et pharmaceutique; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (BAYN) 
150383807094576140787899770845465692727;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;2021-03-21 11:49:16;0;Atos-Syntel; 3,3k;www.atos-syntel.net;Plus de 10 000 employés; 1980; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Filiale ou unité d'exploitation
19820963276095541384707903683671051912;13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;2021-03-21 11:49:17;0;Artefacts Studio; 3;www.artefacts-studio.fr;De 1 à 50 employés; 2003; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
231263381993250531848476199722201835353;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;2021-03-21 11:49:17;0;Thales-Raytheon Systems; 29;www.thalesraytheon.com;De 501 à 1 000 employés; 2001; Gestion des transports; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
25359865660426546510913438931696070952;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;2021-03-21 11:49:17;0;Datadog; 132;www.datadoghq.com;De 1 001 à 5 000 employés; 2010; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise cotée en bourse (DDOG) 
63806971506725341712852851979340105405;13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;2021-03-21 11:49:17;0;Smile Group; 123;www.smile.eu;De 1 001 à 5 000 employés; 1991; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
118082392859198806525070203167677570702;13706-INFO-SOC-GLASSDOOR-E19928_P1.html;2021-03-21 11:49:18;0;Merial; 135;www.merial.com;De 1 001 à 5 000 employés; Inconnu; Fabrication de produits grand public; Entre 25 et 50 millions € (EUR) par an; Filiale ou unité d'exploitation
281741736350334333123458424774588814476;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;2021-03-21 11:49:18;0;Expertime; 18;www.expertime.com;De 51 à 200 employés; 2003; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Entreprise non cotée en bourse
117084366152280707242149891700476508678;13660-INFO-SOC-GLASSDOOR-E26056_P1.html;2021-03-21 11:49:18;0;Groupe SII; 169;www.groupe-sii.com;De 1 001 à 5 000 employés; 1979; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (SII) 
293233320972702660746918438160997652297;13624-INFO-SOC-GLASSDOOR-E397805_P1.html;2021-03-21 11:49:18;0;STM; 61;www.stm.info/fr/emploi;De 5 001 à 10 000 employés; 1861; Secteur ferroviaire; Entre 100 et 500 millions € (EUR) par an; Gouvernement
8750204128884836517445799708353331790;13603-INFO-SOC-GLASSDOOR-E5772_P1.html;2021-03-21 11:49:18;0;Volvo Trucks; 486;www.volvotrucks.com;De 1 001 à 5 000 employés; 1928; Fabrication d'équipement de transport; Entre 1 et 2 milliards € (EUR) par an; Filiale ou unité d'exploitation
199920449521066675489610743016186641594;13809-INFO-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 11:49:18;0;Transdev; 399;www.transdevna.com;Plus de 10 000 employés; 2011; Gestion des transports; Ne sait pas / non applicable; Entreprise non cotée en bourse
219611786116937146746076628937378963214;13606-INFO-SOC-GLASSDOOR-E31197_P1.html;2021-03-21 11:49:19;0;Volvo Construction Equipment; 196;www.volvo.com/constructionequipment/na/en-us;Entre 201 et 500 employés; 1985; Fabrication industrielle; Ne sait pas / non applicable par an; Filiale ou unité d'exploitation
52697060841176185052039007652134386360;13570-INFO-SOC-GLASSDOOR-E1394648_P1.html;2021-03-21 11:49:19;0;Abaka; 6;www.abaka.fr;De 1 à 50 employés; 2002; Conseils; Entre 1 et 5 millions € (EUR) par an; Cabinet / Société du secteur privé
37554494870617324084968643717896255141;13761-INFO-SOC-GLASSDOOR-E1366034_P1.html;2021-03-21 11:49:19;0;Artefact; 78;www.artefact.com;De 501 à 1 000 employés; Inconnu; Conseils; Ne sait pas / non applicable; Entreprise cotée en bourse
13418062874347426814773467146026093625;13689-INFO-SOC-GLASSDOOR-E2098670_P1.html;2021-03-21 11:49:19;0;Adsearch; 16;www.adsearch.fr;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
274355503058612704552451195195877375618;13598-INFO-SOC-GLASSDOOR-E1363502_P1.html;2021-03-21 11:49:19;0;Lacoste Traiteur; 2;www.lacoste-traiteur.com;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
129081372700240736284145396097533258969;13760-INFO-SOC-GLASSDOOR-E1194086_P1.html;2021-03-21 11:49:19;0;Open Sourcing; 4;www.opensourcing.fr;De 1 à 50 employés; 2008; Recrutement et sous-traitance; Moins d&#039;1 million € (EUR) par an; Entreprise non cotée en bourse
324265831878237770905246397439781571222;13550-INFO-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 11:49:19;0;Atos; 5,6k;www.atos.net;Plus de 10 000 employés; 1919; Services informatiques; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (ATO) 
291452117510967772767056643743696705626;13633-INFO-SOC-GLASSDOOR-E672181_P1.html;2021-03-21 11:49:20;0;Softeam; 71;www.softeam.fr;De 501 à 1 000 employés; Inconnu; Matériel et logiciels informatiques; Entre 50 et 100 millions € (EUR) par an; Entreprise non cotée en bourse
308228839374656797203640391473745485772;13600-INFO-SOC-GLASSDOOR-E541990_P1.html;2021-03-21 11:49:20;0;CGIAR; 15;www.cgiar.org;De 5 001 à 10 000 employés; Inconnu; Assistance sociale; Ne sait pas / non applicable par an; Association à but non lucratif
7282098515014553157989264400100476365;13704-INFO-SOC-GLASSDOOR-E9347_P1.html;2021-03-21 11:49:20;0;Sanofi; 4,1k;www.sanofi.com;Plus de 10 000 employés; 1973; Biotechnologies et pharmaceutique; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (SNY) 
152666842049562434737108482015711293033;13722-INFO-SOC-GLASSDOOR-E1256638_P1.html;2021-03-21 11:49:20;0;Group Adaming; 49;www.adaming.fr;De 501 à 1 000 employés; 2010; Services informatiques; Entre 25 et 50 millions € (EUR) par an; Cabinet / Société du secteur privé
110979784616821292402856835832427631194;13753-INFO-SOC-GLASSDOOR-E13339_P1.html;2021-03-21 11:49:20;0;Open; 232;www.open.global;De 1 001 à 5 000 employés; 1989; Services d'architecture et d'ingénierie; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (OPN) 
185973379426009450758184912350841082876;13769-INFO-SOC-GLASSDOOR-E658429_P1.html;2021-03-21 11:49:20;0;Phaidon International; 244;www.phaidoninternational.com;De 501 à 1 000 employés; 2004; Recrutement et sous-traitance; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
224814824739071959133611438646695181139;13741-INFO-SOC-GLASSDOOR-E1132227_P1.html;2021-03-21 11:49:21;0;JEMS Group; 57;www.jems-group.com;Entre 201 et 500 employés; 2002; Services informatiques; Entre 25 et 50 millions € (EUR) par an; Entreprise non cotée en bourse
265426343519774589680101291665486842591;13802-INFO-SOC-GLASSDOOR-E3127620_P1.html;2021-03-21 11:49:21;0;LA REDOUTE; 1;www.laredoute.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
70617402658337120707017246296712711606;13780-INFO-SOC-GLASSDOOR-E35333_P1.html;2021-03-21 11:49:21;0;GFI Group; 86;www.gfigroup.com;De 1 001 à 5 000 employés; 1987; Services de courtage; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise cotée en bourse (GFIG) 
310896270837523096261521150823343015099;13714-INFO-SOC-GLASSDOOR-E10777_P1.html;2021-03-21 11:49:21;0;Lectra; 105;www.lectra.com;De 1 001 à 5 000 employés; 1973; Matériel et logiciels informatiques; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise cotée en bourse (LSS) 
194882389562504874993019356725480995978;13691-INFO-SOC-GLASSDOOR-E1130973_P1.html;2021-03-21 11:49:21;0;Groupe Adéquat; 49;www.groupeadequat.com;De 501 à 1 000 employés; 1987; Recrutement et sous-traitance; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise non cotée en bourse
253347870920971307340285481899113697551;13637-INFO-SOC-GLASSDOOR-E3133104_P1.html;2021-03-21 11:49:21;0;ALTRAN; 3;www.meinjobinhamburg.de;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
28169768932778103060885782274016563065;13723-INFO-SOC-GLASSDOOR-E373493_P1.html;2021-03-21 11:49:21;0;Micropole; 51;www.micropole.com;De 1 001 à 5 000 employés; 1987; Conseils; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse
15262587369814804591247652237237580159;13572-INFO-SOC-GLASSDOOR-E2098670_P1.html;2021-03-21 11:49:21;0;Adsearch; 16;www.adsearch.fr;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
231331613545748016425913140848828641905;13679-INFO-SOC-GLASSDOOR-E906809_P1.html;2021-03-21 11:49:21;0;Fortuneo SA; 16;www.fortuneo.fr;Entre 201 et 500 employés; 2000; Banques et organismes de crédit; Ne sait pas / non applicable par an; Filiale ou unité d'exploitation
180051750013659029271881785461214282872;13615-INFO-SOC-GLASSDOOR-E6538_P1.html;2021-03-21 11:49:22;0;CNH Industrial; 1,2k;www.cnhindustrial.com;Plus de 10 000 employés; 2013; Fabrication industrielle; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (CNHI) 
336111578023756863124844070360745852734;13783-INFO-SOC-GLASSDOOR-E231247_P1.html;2021-03-21 11:49:22;0;ACCEO Solutions; 27;www.acceo.com;De 501 à 1 000 employés; 1988; Solutions logicielles et réseau d'entreprise; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
211446718082435531972353489739222261726;13661-INFO-SOC-GLASSDOOR-E633820_P1.html;2021-03-21 11:49:22;0;Sii Poland; 156;www.sii.pl;De 1 001 à 5 000 employés; 2006; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
