cle,emplacement_source,datetime_ingestion,privacy_level,nom_entreprise,nro_avis,site_web,taille,date_fondation,secteur,revenu,type_entreprise
323936025610540928020587389601501627779,13564-INFO-SOC-GLASSDOOR-E4245_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ," 3,2k                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",www.career.bayer.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1863                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Biotechnologies et pharmaceutique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , Entre 5 et 10 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entreprise cotée en bourse (BAYN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
142383507215969279700529172417288063374,13553-INFO-SOC-GLASSDOOR-E5304_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2021-03-21,0                                                 ,Atos-Syntel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ," 3,3k                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",www.atos-syntel.net                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Plus de 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 1980                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 1 et 2 milliards € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Filiale ou unité d'exploitation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
39132130255885373243148879236784513919,13764-INFO-SOC-GLASSDOOR-E1164584_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Artefacts Studio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,www.artefacts-studio.fr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,De 1 à 50 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ne sait pas / non applicable par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
326684326900894065591311968724880305733,13736-INFO-SOC-GLASSDOOR-E410527_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Thales-Raytheon Systems                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.thalesraytheon.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,De 501 à 1 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Gestion des transports                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
134667710877226316059192172358144722935,13693-INFO-SOC-GLASSDOOR-E762009_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,Datadog                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 132                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.datadoghq.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Matériel et logiciels informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Ne sait pas / non applicable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Entreprise cotée en bourse (DDOG)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
251393452572073640570698682357263953765,13584-INFO-SOC-GLASSDOOR-E1044716_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Smile Group                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 123                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.smile.eu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1991                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
58127081529246951579318024868294689687,13706-INFO-SOC-GLASSDOOR-E19928_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2021-03-21,0                                                 ,Merial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 135                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.merial.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Inconnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Fabrication de produits grand public                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Entre 25 et 50 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Filiale ou unité d'exploitation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
193222313025553674770729983225862889531,13571-INFO-SOC-GLASSDOOR-E1061225_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2021-03-21,0                                                 ,Expertime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.expertime.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,De 51 à 200 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 5 et 10 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Entreprise non cotée en bourse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
126913648514405557767312951241956400425,13660-INFO-SOC-GLASSDOOR-E26056_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2021-03-21,0                                                 ,Groupe SII                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 169                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,www.groupe-sii.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,De 1 001 à 5 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1979                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Services informatiques                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Entreprise cotée en bourse (SII)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
327509875404633461343664010996647590636,13624-INFO-SOC-GLASSDOOR-E397805_P1.html                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2021-03-21,0                                                 ,STM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 61                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,www.stm.info/fr/emploi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,De 5 001 à 10 000 employés                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 1861                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Secteur ferroviaire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Entre 100 et 500 millions € (EUR) par an                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Gouvernement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
